PARTNERSHIP_ID,INDIVIDUAL_IDS
IH9D7QU0SW,"['AYGKZW5YPG', 'UDSS4B9P65']"
RAO5TAG1BD,"['701CU2R5WE', 'C3FC972N4Q']"
T9AD15KSTV,"['QXNWJE6H5G', '086N3Y4VVM']"
N3GUJVQNZ8,"['C9NRGXF7IO', 'K3M3GSSAN2']"
TN2QK2P9RS,"['4CQTUTNULG', 'TPJKXTM0CB']"
6RUCM9BPJ9,"['TPJKXTM0CB', '4L0Q61KPQL']"
AHTDNYP4A3,"['JMT28B228R', 'NOFRPS4Q9T']"
20B9HH7W8T,"['827HZMYB0T', '17PCTFAZUP']"
ZW0J9NZAS3,"['FO8YWV23ZK', 'ARN5GMCI89']"
ZQ5C5X1DWI,"['4L0Q61KPQL', 'D2XB6WSA2C']"
J7GOCJMT4X,"['H9NSEIPUYE', '701CU2R5WE']"
EQF1X3CNKZ,"['2MVH9N44OT', 'QH6U83FHKN']"
7VBKY5B1PM,"['YH7NSGYL1V', '701CU2R5WE']"
A1Y388YRKE,"['UBRJS7UAWJ', 'PO2L3AEFED']"
2WTR20XDSA,"['JMT28B228R', 'SXS9F6CSY1']"
I4DMW1JO1W,"['77WCO3DEI2', 'ZEKBKU4CMP']"
8UD4S22K70,"['623GI3T18A', 'DBYS4P30SU']"
PR1YDMTX4H,"['UDSS4B9P65', '827HZMYB0T']"
S7TXRKQ94E,"['NTEGEVCM9X', 'H9NSEIPUYE']"
DNXZLTM3AA,"['4L0Q61KPQL', 'U9EL7D4ERT']"
6F2QRT6N0N,"['JMT28B228R', 'Q16YO4JCU6', 'UI7EJIY2KI', 'XJZM8GRCHE', 'TPJKXTM0CB', 'UYPHDND4FA', 'N0UGYR5O8A', 'C9NRGXF7IO', 'RBD08MZXX1', 'LMPLLW4ENR']"
MPFMN2X83W,"['SCQ0XCQ7O1', '2MVH9N44OT', 'N5XWRI212R', '77WCO3DEI2', 'CDGKL7HHXF', 'R5S5MUFVWU', '2F99RMVRIZ', 'QH6U83FHKN', 'N0UGYR5O8A', '4ODNGNJKKP']"
5EEVEQ6ENR,"['086N3Y4VVM', 'RG0G1D96G3', 'W1Y175DVPO', 'CDGKL7HHXF', 'J7BTWJ81S5', 'N5TBEZFG1P', 'R89BBWNCD8', 'NOFRPS4Q9T', 'UI7EJIY2KI', 'C3FC972N4Q']"
H3EALASYBT,"['SKBPNEDBQS', 'ARN5GMCI89', 'TXW929QG7V', 'AM03D1XUAP', 'QH6U83FHKN', 'QXNWJE6H5G', '4NI2BAS5NY', 'C9NRGXF7IO', '2MVH9N44OT', 'NTEGEVCM9X']"
9KPSVHG8YA,"['A06WP1H62W', 'W1Y175DVPO', 'RG0G1D96G3', '4ODNGNJKKP', 'K3M3GSSAN2', 'UYPHDND4FA', '0ESA3CXA5N', 'UI7EJIY2KI', 'ZK6QSE5CWV', '2MVH9N44OT']"
59YB0GWAEV,"['4KWW1KR3JY', 'Z3X0LBABH7', 'FO8YWV23ZK', 'W1Y175DVPO', 'Q16YO4JCU6', '2F99RMVRIZ', '13Y2YC97H6', 'UBRJS7UAWJ', '701CU2R5WE', 'DBYS4P30SU']"
MUJWN4XFML,"['Z3X0LBABH7', 'Q16YO4JCU6', 'ZKMO6UT86Q', 'OMJMSPEXOA', 'UDSS4B9P65', 'C9NRGXF7IO', 'SCQ0XCQ7O1', 'UBRJS7UAWJ', '3CN0CG38T5', 'TMD4NCAUKL']"
J8D2BETXMA,"['DBYS4P30SU', 'ZKMO6UT86Q', 'FAMB7AU0KM', 'N5XWRI212R', 'A4J0YU0L11', 'RA6JIGZVI2', 'UDSS4B9P65', 'XJZM8GRCHE', 'ZEKBKU4CMP', 'OMJMSPEXOA']"
ISGLXWPI4Y,"['RBD08MZXX1', '166FJV65R6', '086N3Y4VVM', '4L0Q61KPQL', 'TXW929QG7V', '13Y2YC97H6', 'UYPHDND4FA', '1ZEAIO3U5N', 'A06WP1H62W', '007AS3ESRJ']"
3Y1K6KE4BT,"['XJZM8GRCHE', 'H8G804ZI5V', 'LMPLLW4ENR', 'UI7EJIY2KI', 'CAHOEUK4TH', '2A9X4KHXZI', 'QH6U83FHKN', 'ZK6QSE5CWV', 'HBRJJ06A8Z', '0ESA3CXA5N']"
ADY9EZRG5S,"['CAHOEUK4TH', 'DQX3E7JVFZ', 'W1Y175DVPO', '2MVH9N44OT', 'A06WP1H62W', 'A4J0YU0L11', 'QXNWJE6H5G', 'AWZPLRZ289', 'R89BBWNCD8', '4NI2BAS5NY', '3XO893HUB7', 'F887AXNEJ8', '8IFVOHRN39', 'UYPHDND4FA', 'B79TELFZL7', '0ESA3CXA5N']"
