DATE,ID,EMAIL_SENT,EMAIL_OPENED,IN_PERSON_MEETING,PHONE_ATTEMPT,PHONE_SUCCESS,WEBINAR,MAIL
01/18/2018,RBD08MZXX1,19,11,3,2,1,19,2
10/19/2018,RBD08MZXX1,32,25,1,1,1,68,1
12/22/2018,RBD08MZXX1,18,14,4,1,1,19,2
03/11/2018,RBD08MZXX1,19,9,2,1,0,55,0
09/04/2018,RBD08MZXX1,34,33,4,3,2,28,2
06/29/2018,RBD08MZXX1,37,11,2,1,0,62,0
07/04/2018,RBD08MZXX1,24,19,3,1,2,16,1
03/23/2018,RBD08MZXX1,24,10,1,1,2,24,2
08/14/2018,RBD08MZXX1,24,8,0,1,0,69,1
09/17/2018,RBD08MZXX1,15,17,0,1,0,39,0
08/12/2018,RBD08MZXX1,18,12,0,1,2,48,2
07/18/2018,RBD08MZXX1,11,32,0,2,0,48,0
01/04/2018,RBD08MZXX1,11,18,3,0,0,65,2
12/23/2018,RBD08MZXX1,16,25,0,0,1,7,2
10/06/2018,RBD08MZXX1,24,8,4,3,1,37,1
02/28/2018,RBD08MZXX1,10,6,2,0,1,58,0
07/27/2018,RBD08MZXX1,1,5,1,1,1,1,0
09/15/2018,RBD08MZXX1,0,14,2,0,0,59,0
03/29/2018,RBD08MZXX1,11,24,2,0,1,22,1
08/05/2018,RBD08MZXX1,28,9,1,3,2,39,2
07/24/2018,RBD08MZXX1,30,33,4,0,0,66,1
09/02/2018,RBD08MZXX1,36,22,0,2,0,11,2
09/07/2018,RBD08MZXX1,38,13,3,0,0,76,0
01/01/2018,RBD08MZXX1,29,1,3,2,2,7,2
06/29/2018,RBD08MZXX1,14,8,1,3,0,9,0
08/17/2018,RBD08MZXX1,11,0,0,2,2,70,0
10/04/2018,RBD08MZXX1,3,32,1,1,1,14,1
01/27/2018,RBD08MZXX1,15,9,4,1,0,3,1
09/09/2018,RBD08MZXX1,14,2,3,1,1,34,2
03/14/2018,RBD08MZXX1,5,15,0,0,1,29,1
01/26/2018,RBD08MZXX1,21,15,4,1,2,30,2
04/21/2018,RBD08MZXX1,38,6,2,0,0,50,0
05/06/2018,RBD08MZXX1,0,20,4,1,0,39,1
08/25/2018,RBD08MZXX1,10,26,0,3,2,21,0
11/12/2018,RBD08MZXX1,24,7,3,0,0,66,0
04/15/2018,RBD08MZXX1,22,16,3,1,2,7,0
08/21/2018,RBD08MZXX1,12,0,3,2,0,66,1
07/06/2018,RBD08MZXX1,26,3,3,1,2,35,2
09/29/2018,RBD08MZXX1,29,28,0,3,2,31,2
09/11/2018,RBD08MZXX1,17,21,3,1,1,39,0
04/05/2018,RBD08MZXX1,24,29,0,0,0,12,1
12/25/2018,RBD08MZXX1,20,26,1,3,0,71,2
08/10/2018,RBD08MZXX1,29,12,0,0,2,71,0
04/03/2018,RBD08MZXX1,17,6,3,1,2,47,1
12/01/2018,RBD08MZXX1,39,8,3,1,0,68,0
03/02/2018,RBD08MZXX1,18,18,0,3,2,25,0
03/22/2018,RBD08MZXX1,11,20,0,2,2,3,1
07/15/2018,RBD08MZXX1,34,24,1,3,1,79,1
04/17/2018,RBD08MZXX1,0,20,3,0,0,16,1
08/03/2018,RBD08MZXX1,39,20,1,1,0,74,2
02/11/2018,RBD08MZXX1,8,3,1,3,2,28,0
11/18/2018,RBD08MZXX1,5,2,1,1,2,36,2
02/09/2018,RBD08MZXX1,14,33,1,0,1,55,1
05/13/2018,RBD08MZXX1,29,23,3,1,2,4,1
07/10/2018,JMT28B228R,39,14,4,2,1,58,2
05/04/2018,JMT28B228R,33,18,2,3,2,21,2
12/27/2018,JMT28B228R,23,23,3,3,0,26,1
05/04/2018,JMT28B228R,32,16,0,3,1,8,1
03/18/2018,JMT28B228R,1,17,2,2,1,49,0
03/23/2018,JMT28B228R,5,15,0,2,2,43,1
03/19/2018,JMT28B228R,37,33,3,2,2,33,0
12/22/2018,JMT28B228R,6,30,1,3,1,45,1
11/01/2018,3XO893HUB7,23,11,2,1,1,71,1
11/25/2018,3XO893HUB7,4,20,2,2,1,7,0
11/17/2018,3XO893HUB7,8,16,0,0,2,73,1
09/06/2018,3XO893HUB7,10,18,0,0,2,49,0
10/10/2018,3XO893HUB7,8,19,4,2,2,4,0
05/18/2018,3XO893HUB7,36,14,2,1,1,8,2
05/29/2018,3XO893HUB7,6,10,3,3,0,34,0
04/26/2018,3XO893HUB7,7,18,1,3,1,44,0
07/14/2018,3XO893HUB7,7,27,2,0,1,35,0
09/24/2018,3XO893HUB7,24,1,0,2,1,74,2
08/27/2018,3XO893HUB7,23,3,1,1,0,57,0
01/26/2018,3XO893HUB7,18,10,2,3,2,60,1
01/02/2018,3XO893HUB7,16,9,0,2,2,4,0
08/29/2018,3XO893HUB7,33,32,3,1,1,40,0
04/25/2018,3XO893HUB7,21,1,0,0,2,71,0
11/03/2018,3XO893HUB7,2,27,4,1,2,60,1
07/15/2018,3XO893HUB7,3,21,2,3,1,48,1
10/28/2018,3XO893HUB7,21,10,1,1,2,46,0
08/27/2018,3XO893HUB7,14,18,4,2,2,5,1
10/28/2018,3XO893HUB7,6,23,1,0,1,57,2
07/12/2018,3XO893HUB7,25,19,3,2,2,46,0
10/23/2018,3XO893HUB7,35,3,4,2,1,15,1
09/10/2018,3XO893HUB7,18,9,4,1,1,39,1
01/20/2018,3XO893HUB7,7,32,0,0,1,20,1
01/06/2018,3XO893HUB7,2,27,4,0,1,45,0
09/29/2018,3XO893HUB7,11,20,3,0,2,20,0
03/10/2018,3XO893HUB7,15,8,3,0,1,19,1
03/18/2018,3XO893HUB7,23,23,4,1,1,48,1
02/16/2018,3XO893HUB7,26,28,3,3,0,4,1
07/02/2018,3XO893HUB7,19,27,1,1,2,51,1
04/12/2018,3XO893HUB7,30,24,4,2,2,75,0
09/01/2018,3XO893HUB7,34,17,0,3,2,45,2
07/03/2018,3XO893HUB7,29,29,1,3,0,56,1
03/31/2018,3XO893HUB7,21,25,2,0,0,6,0
01/08/2018,3XO893HUB7,12,4,3,2,0,24,1
01/08/2018,3XO893HUB7,36,4,0,3,1,30,2
12/28/2018,3XO893HUB7,0,5,2,3,2,21,2
08/03/2018,3XO893HUB7,38,31,0,1,2,63,2
07/29/2018,3XO893HUB7,5,5,4,1,0,44,1
11/29/2018,3XO893HUB7,18,11,2,0,2,3,0
08/13/2018,3XO893HUB7,34,1,0,3,2,6,0
05/21/2018,3XO893HUB7,2,9,3,2,2,53,2
12/02/2018,3XO893HUB7,37,11,1,3,2,46,1
12/10/2018,3XO893HUB7,5,15,2,0,2,37,1
09/24/2018,3XO893HUB7,30,10,2,1,2,79,1
10/14/2018,3XO893HUB7,34,25,3,0,0,58,0
08/16/2018,3XO893HUB7,34,8,3,3,2,52,1
07/04/2018,E4IAL3HYBA,24,7,1,3,1,55,1
09/08/2018,E4IAL3HYBA,36,31,3,3,0,51,0
01/03/2018,E4IAL3HYBA,3,16,0,1,2,1,1
08/23/2018,UBRJS7UAWJ,23,14,3,2,1,62,0
11/28/2018,UBRJS7UAWJ,22,17,0,2,0,52,1
