ID,FIRM_NAME,ELITE_FIRM,TRADE_TYPE,TRAN_ID,TRAN_DATE,PROD_ID,TRAN_AMT
SCQ0XCQ7O1,Firm L,YES,I,24410485,2018-06-30 00:27:00,1017,8750.439154370833
5KO6XTG3NZ,Firm H,,I,66379628,2018-12-22 07:44:00,4233,5932.776580207694
UDSS4B9P65,Firm G,YES,I,66146891,2018-02-03 18:05:00,1017,13161.501280361334
UDSS4B9P65,Firm G,YES,I,59545643,2018-07-29 19:07:00,1017,4401.004770907568
AHTDNYP4A3,,,P,34620126,2018-03-13 21:18:00,1972,5357.264140618499
B79TELFZL7,Firm J,,I,44912672,2018-05-07 02:55:10,1017,7930.11999742371
GKKCWNOKZ0,Firm G,YES,I,10074884,2018-11-27 21:21:00,1017,16682.917878021173
U3TBS57JJ5,,,P,70245581,2018-02-13 15:11:00,1017,9140.030474023146
A4J0YU0L11,Firm J,,I,88147718,2018-07-28 07:01:00,4330,78863.33774453361
DF49LAD02I,Firm L,YES,I,35942754,2018-07-12 23:44:00,2183,49503.03218428829
TN2QK2P9RS,,,P,12490837,2018-10-21 08:21:00,7455,2272.0287450392043
OMJMSPEXOA,Firm L,YES,I,34724804,2018-07-29 14:02:00,9667,-98925.32281105687
0FIT0NJYNV,Firm B,,I,32158160,2018-12-24 13:10:00,2183,11434.153445909711
RA6JIGZVI2,Firm G,YES,I,54619673,2018-08-30 17:59:00,2183,119103.21533188107
U7BJKAE83O,,,P,-80525493,2018-04-10 03:53:01,1549,-2004.3841341434147
AYGKZW5YPG,Firm C,,I,22015501,2018-06-19 14:41:00,7455,-105330.59136952851
4NI2BAS5NY,Firm E,,I,48785301,2018-02-23 05:53:00,6099,2582.7907584470317
N3GUJVQNZ8,,,P,75136629,2018-05-03 13:12:00,1017,8877.39888960987
F887AXNEJ8,Firm C,,I,33766419,2018-07-31 19:43:00,9667,15902.224582284009
3XO893HUB7,Firm A,,I,94442022,2018-09-17 15:19:00,1017,10772.204560912833
827HZMYB0T,Firm J,,I,-39822673,2018-11-01 09:25:01,1972,-13515.252804392783
X7SUJHX95Z,Firm J,,I,59023805,2018-04-03 04:04:05,2837,1410.6224211751578
QH6U83FHKN,Firm J,,I,93821372,,1017,56816.6585896663
6F2QRT6N0N,,,P,74683756,2018-09-03 18:01:00,6168,15624.15424199869
ZW0J9NZAS3,,,P,27325266,2018-02-04 04:55:00,4330,15889.22961903681
5KO6XTG3NZ,Firm H,,I,20896638,2018-08-12 14:45:00,2439,6166.484032871753
4NI2BAS5NY,Firm E,,I,63615286,2018-04-01 07:52:00,1017,5962.409664130177
DQX3E7JVFZ,Firm K,,I,59136909,2018-03-25 12:14:00,2439,10024.795695593184
TMD4NCAUKL,Firm H,,I,78690637,2018-09-15 03:10:00,7341,68456.91966159512
R5S5MUFVWU,Firm C,,I,76540050,2018-11-08 18:50:00,2837,7948.778563679582
GSITSYMDWU,,,P,55814069,2018-03-27 11:32:00,1017,10614.535487934108
RBD08MZXX1,Firm A,,I,-72553296,2018-06-17 21:22:01,1549,-10680.395691596665
08JLESLKWL,,,P,41298484,2018-02-13 12:01:05,6099,369.63155072664637
U3TBS57JJ5,,,P,76352283,2018-02-24 15:48:00,1017,9869.904408236222
E4IAL3HYBA,Firm A,,I,88586857,2018-07-09 00:57:05,4252,17879.930929593564
77WCO3DEI2,Firm J,,I,43299659,2018-02-27 06:57:00,1017,58669.17235473829
DBYS4P30SU,Firm J,,I,51073444,2018-07-21 12:20:00,1017,59373.86319101795
LMPLLW4ENR,Firm K,,I,49692386,2018-05-16 13:54:00,1017,12202.56792402703
N5XWRI212R,Firm A,,I,94216093,2018-02-21 01:14:00,2183,10635.910219770025
H8G804ZI5V,Firm J,,I,37932169,2018-11-02 02:40:05,1017,11728.199964838645
827HZMYB0T,Firm J,,I,61838947,2018-03-20 02:24:00,6099,7487.004892326662
R89BBWNCD8,Firm B,,I,93456766,2018-09-03 07:06:00,4252,4032.815089654311
N0UGYR5O8A,Firm L,YES,I,-88623481,2018-07-31 09:13:01,1017,-13600.764565194637
LSVU61S7XC,,,P,99443915,2018-09-14 03:06:00,2837,18768.846819180082
8UD4S22K70,,,P,58843628,2018-06-20 15:17:00,1017,8774.551603880205
A06WP1H62W,Firm J,,I,63926392,2018-07-03 10:11:00,6099,122774.1865795926
086N3Y4VVM,Firm L,YES,I,-45795067,2018-08-14 02:08:01,1017,-11118.062040022944
D2XB6WSA2C,Firm H,,I,83537472,2018-05-26 19:43:00,1017,17701.643983541362
59YB0GWAEV,,,P,83452025,2018-12-25 13:47:00,1017,10160.26897040528
PO2L3AEFED,Firm H,,I,13598716,2018-07-11 03:52:00,1017,13565.852959632793
2J1CGBDXSV,,,P,-77197220,2018-03-08 10:22:01,4252,-8478.401071257587
5KO6XTG3NZ,Firm H,,I,90945599,2018-09-04 04:57:00,1017,3643.0125488262574
S7TXRKQ94E,,,P,-95517474,2018-02-15 15:53:01,1017,-8961.670425854958
4ODNGNJKKP,Firm C,,I,73200774,2018-04-07 06:17:00,1017,14091.692976004035
FO8YWV23ZK,Firm I,,I,37917149,2018-12-03 16:52:00,1017,52417.62794431142
827HZMYB0T,Firm J,,I,39822673,2018-11-01 09:25:05,1972,13515.252804392783
1U7UBFTOIE,,,P,96471753,2018-11-02 00:32:00,1017,8066.431293813471
6RUCM9BPJ9,,,P,83741791,2018-05-18 22:13:05,1972,14336.82531083664
AYGKZW5YPG,Firm C,,I,34719234,2018-06-23 11:19:00,4330,138985.1725438642
0FIT0NJYNV,Firm B,,I,69991535,2018-06-03 20:23:05,2183,1645.3043677563785
7VBKY5B1PM,,,P,63656905,2018-10-06 00:27:00,4233,9106.212856426877
UI7EJIY2KI,Firm C,,I,79581619,2018-11-03 16:04:00,2183,7183.554348877696
U9EL7D4ERT,Firm E,,I,61540676,2018-01-01 04:57:00,2837,88582.75653460868
XJZM8GRCHE,Firm L,YES,I,72479501,2018-12-18 17:56:00,4252,12347.05149054983
ZW0J9NZAS3,,,P,83330767,2018-02-20 09:34:00,2837,14844.6621819366
8IFVOHRN39,Firm E,,I,36766009,2018-05-06 15:22:00,2837,1637.19333330293
TN2QK2P9RS,,,P,66698204,2018-11-30 22:03:05,1972,9536.920167667795
63WPDBSF0P,Firm L,YES,I,79197122,2018-03-19 17:41:00,1017,5944.446774387568
W1Y175DVPO,Firm B,,I,29102166,2018-08-06 02:34:00,1972,15837.930066486118
17PCTFAZUP,Firm K,,I,17992872,2018-07-21 03:55:00,6168,2290.488532009544
UI7EJIY2KI,Firm C,,I,30732610,2018-11-12 02:55:00,6168,6012.72749216625
T8NOPQSIWF,,,P,31918617,2018-06-06 00:10:00,4252,13064.73834806769
2A9X4KHXZI,Firm C,,I,11407116,2018-12-09 17:07:00,6168,11365.078529091015
827HZMYB0T,Firm J,,I,-88741058,2018-08-22 01:06:01,7341,-8719.3393193439
FAMB7AU0KM,Firm K,,I,72742031,2018-12-22 19:13:05,1972,10378.946951108366
4KWW1KR3JY,Firm L,YES,I,89577264,2018-05-15 22:20:05,9667,10984.940635623016
ISU2JLRQVJ,Firm L,YES,I,71292267,2018-10-12 00:59:00,1549,9550.653612893946
D2XB6WSA2C,Firm H,,I,55499411,2018-04-25 17:48:00,2837,6742.837172218495
17PCTFAZUP,Firm K,,I,17318170,2018-02-21 08:49:00,2439,6350.910541256255
N3GUJVQNZ8,,,P,61743573,2018-08-08 01:19:00,9667,8086.401967074459
DNXZLTM3AA,,,P,56249394,2018-11-19 18:05:00,1017,4702.487627311043
DBYS4P30SU,Firm J,,I,87355600,2018-01-07 01:28:00,1017,71214.82364966121
08JLESLKWL,,,P,80684126,2018-04-19 19:41:00,7341,9023.893548574151
9QWF3LA00H,Firm K,,I,40490655,2018-03-01 19:18:00,1017,3466.6345457186967
N3GUJVQNZ8,,,P,38180147,2018-01-27 04:33:05,4252,4884.3845149206845
K2HI7Z6A4L,,,P,-67067825,2018-12-06 09:39:01,9667,-7029.9723738460925
R94K3D6CWX,,,P,63638352,2018-08-17 08:20:00,1051,13438.564019772642
D2XB6WSA2C,Firm H,,I,68829925,2018-04-30 23:34:00,9667,12887.277221459652
5KO6XTG3NZ,Firm H,,I,-20896638,2018-08-12 14:45:01,2439,-6166.484032871753
IH9D7QU0SW,,,P,-49769767,2018-07-15 13:27:01,4330,-6449.719717474769
4CQTUTNULG,Firm C,,I,50003815,2018-12-21 03:48:00,7341,6077.874883255328
2J1CGBDXSV,,,P,-13258745,2018-04-25 23:29:01,1017,-9799.26951058936
Z3X0LBABH7,Firm K,,I,-70661522,2018-07-28 06:36:08,1017,-7263.455515542224
6RUCM9BPJ9,,,P,50944524,2018-11-16 14:24:00,9667,16592.597612921472
Q16YO4JCU6,Firm K,,I,63394012,2018-06-28 20:00:00,1549,10426.43216126374
